"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Mixed identifiable",23,0.0405981278401444,0.004153672116464,0.0136811379269146,0.0066638109024988,0.0269169899132298,0.00604771651293043,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",24,0.0459359281507687,0.00441066053072805,0.0264679284519448,0.00812528198323129,0.0194679996988239,0.00797073246493419,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",25,0.0527365977602874,0.00583051474430225,0.0374742264727757,0.00727982644880824,0.0152623712875117,0.00494009304399943,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",26,0.044934538222517,0.0058238444513291,0.0260547054522188,0.0069120315202407,0.0188798327702982,0.00541942371001638,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",27,0.045663790159861,0.00584185135264756,0.0200711048081378,0.00845806993990323,0.0255926853517233,0.00685085052958334,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",28,0.045332598344372,0.00521460397809651,0.0215277324728294,0.00725288553497766,0.0238048658715426,0.00579912752675499,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",29,0.0367024725568291,0.00369829890375139,0.0179761981684266,0.00724325565676804,0.0187262743884025,0.00614541601237498,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",30,0.0535544893837829,0.00441266421631829,0.0178685658718583,0.00830588321218224,0.0356859235119247,0.00681998209402257,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",31,0.0507518782478249,0.00411855819883463,0.0429477464955829,0.00770858106649295,0.00780413175224198,0.00578964870447687,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",32,0.0412585701556274,0.00584414444434728,0.027837854674887,0.00663477451150854,0.0134207154807404,0.00674936376501436,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",33,0.0418823011327693,0.00393343178525076,0.0193477453489763,0.00697732316950872,0.022534555783793,0.00598296586584749,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",34,0.0459305638484526,0.0034662019654168,0.0204874741597827,0.00742281166151352,0.0254430896886699,0.00605979578769481,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",35,0.047062837440246,0.00461833463951109,0.0286764991648701,0.00600739901646308,0.0183863382753759,0.00542807020457849,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",36,0.0448380637226848,0.00521924096605647,0.0192494734210479,0.00989767821174574,0.0255885903016369,0.00812388293276509,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",37,0.0420228210938109,0.0047778850737414,0.0329049453666419,0.00682954383559962,0.00911787572716903,0.00548227311045081,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",38,0.054201874398007,0.0048057790300998,0.0343895414532284,0.0077064182128017,0.0198123329447785,0.00605783614645576,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",39,0.0410698818280239,0.00499480412556119,0.0288734645557674,0.00682561404453262,0.0121964172722565,0.00494461332842108,0.0449,0.03,0.0149,0.0149,0
